classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.9,0.05443310539518174,0.5732620320855616,0.2134594315954639,0.9875,0.024999999999999998,0.2,0.4000000000000001,0.0,0.0,
logreg,0.01,balanced,0.9222222222222222,0.10886621079036347,0.8276209677419356,0.23137748897363827,0.95,0.07288689868556626,0.7,0.4,0.0,0.0,
logreg,0.03,none,0.9222222222222222,0.05665577237325316,0.7122994652406417,0.2145018376337399,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.0,0.0,
logreg,0.03,balanced,0.9444444444444444,0.08606629658238703,0.8511363636363637,0.21847754579482287,0.975,0.049999999999999996,0.7,0.4,0.0,0.0,
logreg,0.1,none,0.9222222222222222,0.05665577237325316,0.7122994652406417,0.2145018376337399,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.0,0.0,
logreg,0.1,balanced,0.9444444444444444,0.08606629658238703,0.8511363636363637,0.21847754579482287,0.975,0.049999999999999996,0.7,0.4,0.0,0.0,
logreg,0.3,none,0.9333333333333333,0.054433105395181716,0.7818181818181819,0.1781447085660493,0.9875,0.024999999999999998,0.5,0.31622776601683794,0.0,0.0,
logreg,0.3,balanced,0.9333333333333333,0.0816496580927726,0.8279105571847507,0.20730468963848805,0.9625,0.049999999999999996,0.7,0.4,0.0,0.0,
logreg,1.0,none,0.9333333333333333,0.054433105395181716,0.7818181818181819,0.1781447085660493,0.9875,0.024999999999999998,0.5,0.31622776601683794,0.0,0.0,
logreg,1.0,balanced,0.9444444444444444,0.06085806194501844,0.8313196480938416,0.20089756540782755,0.975,0.03061862178478973,0.7,0.4,0.0,0.0,
logreg,3.0,none,0.9333333333333333,0.054433105395181716,0.7818181818181819,0.1781447085660493,0.9875,0.024999999999999998,0.5,0.31622776601683794,0.0,0.0,
logreg,3.0,balanced,0.9444444444444444,0.06085806194501844,0.8313196480938416,0.20089756540782755,0.975,0.03061862178478973,0.7,0.4,0.0,0.0,
svm,0.1,none,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,0.1,balanced,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,0.1,none,0.888888888888889,1.1102230246251565e-16,0.47058823529411764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.8666666666666666,0.04444444444444442,0.46397058823529413,0.013235294117647055,0.975,0.049999999999999996,0.0,0.0,0.0,0.0,rbf
svm,0.3,none,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,0.3,balanced,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,0.3,none,0.888888888888889,1.1102230246251565e-16,0.47058823529411764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.8777777777777779,0.11863420280034791,0.7113196480938416,0.2397426689792919,0.925,0.09185586535436918,0.5,0.4472135954999579,0.0,0.0,rbf
svm,1.0,none,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,1.0,balanced,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,1.0,none,0.8777777777777779,0.022222222222222185,0.46737967914438505,0.006417112299465244,0.9875,0.024999999999999998,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.888888888888889,0.08606629658238704,0.66889770570985,0.18355137005038327,0.9625,0.075,0.3,0.24494897427831783,0.0,0.0,rbf
svm,3.0,none,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,3.0,balanced,0.9222222222222222,0.05665577237325316,0.7750696480938416,0.18449808182566432,0.9625,0.03061862178478973,0.6,0.37416573867739417,0.0,0.0,linear
svm,3.0,none,0.9,0.04157397096415488,0.6064171122994653,0.17300436376051206,0.9875,0.024999999999999998,0.2,0.24494897427831783,0.0,0.0,rbf
svm,3.0,balanced,0.9,0.04157397096415488,0.6064171122994653,0.17300436376051206,0.9875,0.024999999999999998,0.2,0.24494897427831783,0.0,0.0,rbf
