run_id,block,status,accuracy,macro_f1,artifact,notes
non_vlm_dinov2_base_logreg,non_vlm_baselines,ok,0.6551724137931034,0.6683501683501684,reports/next_research/non_vlm_baselines/hf_sweep/dinov2_base/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_efficientnet_b0_logreg,non_vlm_baselines,ok,0.6206896551724138,0.6062078272604589,reports/next_research/non_vlm_baselines/timm_sweep/efficientnet_b0/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_convnext_tiny_logreg,non_vlm_baselines,ok,0.6551724137931034,0.5901689708141321,reports/next_research/non_vlm_baselines/timm_sweep/convnext_tiny/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_siglip_b16_224_logreg,non_vlm_baselines,ok,0.4827586206896552,0.5300283635466765,reports/next_research/non_vlm_baselines/hf_sweep/siglip_b16_224/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_clip_l14_logreg,non_vlm_baselines,ok,0.5172413793103449,0.473912488837862,reports/next_research/non_vlm_baselines/hf_sweep/clip_l14/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_clip_b32_logreg,non_vlm_baselines,ok,0.5689655172413793,0.460941085107134,reports/next_research/non_vlm_baselines/hf_sweep/clip_b32/val_predictions.csv,train-CV selected class-only feature baseline
non_vlm_resnet50_logreg,non_vlm_baselines,ok,0.4482758620689655,0.4580209895052474,reports/next_research/non_vlm_baselines/timm_sweep/resnet50/val_predictions.csv,train-CV selected class-only feature baseline
qwen_stage3_clean,structured_output_eval,ok,0.46551724137931033,,reports\next_research\structured_output_eval\structured_eval_qwen_stage3_clean.json,structured JSON/reporting evaluation
qwen_stage4_context_pad030,structured_output_eval,ok,0.39655172413793105,,reports\next_research\structured_output_eval\structured_eval_qwen_stage4_context_pad030.json,structured JSON/reporting evaluation
hybrid_dinov2_qwen_champion,structured_output_eval,ok,0.5862068965517241,,reports\next_research\structured_output_eval\structured_eval_hybrid_dinov2_qwen_champion.json,structured JSON/reporting evaluation
internvl3_2b_base,structured_output_eval,ok,0.5517241379310345,,reports\next_research\structured_output_eval\structured_eval_internvl3_2b_base.json,structured JSON/reporting evaluation
non_vlm_dinov2_binary_logreg,accuracy_ablation_flashover_binary,ok,0.7115384615384616,0.7026305756767061,reports/next_research/accuracy_ablation/flashover_binary/dinov2_binary/val_predictions.csv,binary ok-vs-flashover diagnostic
non_vlm_clip_b32_binary_logreg,accuracy_ablation_flashover_binary,ok,0.6153846153846154,0.606060606060606,reports/next_research/accuracy_ablation/flashover_binary/clip_b32_binary/val_predictions.csv,binary ok-vs-flashover diagnostic
