classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.8476190476190476,0.019047619047619025,0.6057741985683162,0.058449806815501236,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.39999999999999997,0.38873012632302,
logreg,0.01,balanced,0.8285714285714285,0.09805362039035241,0.7129483983231611,0.12324553646583036,0.8875,0.12119199643540822,0.6,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.03,none,0.8571428571428571,0.030116930096841705,0.6409002489884843,0.10306482677111521,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.4666666666666667,0.33993463423951903,
logreg,0.03,balanced,0.8380952380952381,0.09805362039035238,0.7264862914862915,0.1313361427912932,0.9,0.1159202311936963,0.6,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.1,none,0.8761904761904761,0.023328473740792197,0.697719421101774,0.09812631951585729,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.6,0.24944382578492946,
logreg,0.1,balanced,0.8476190476190476,0.06317380553057904,0.7037912740853918,0.12738333428415655,0.925,0.07288689868556626,0.5,0.4472135954999579,0.6666666666666666,0.21081851067789195,
logreg,0.3,none,0.8857142857142856,0.0380952380952381,0.7196207877090229,0.12895284764048065,0.9875,0.024999999999999998,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.3,balanced,0.8476190476190476,0.06317380553057904,0.7037912740853918,0.12738333428415655,0.925,0.07288689868556626,0.5,0.4472135954999579,0.6666666666666666,0.21081851067789195,
logreg,1.0,none,0.8666666666666666,0.055532875189002844,0.7040958788207365,0.13613559502445113,0.9625,0.049999999999999996,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,1.0,balanced,0.8476190476190476,0.06317380553057904,0.7037912740853918,0.12738333428415655,0.925,0.07288689868556626,0.5,0.4472135954999579,0.6666666666666666,0.21081851067789195,
logreg,3.0,none,0.8761904761904761,0.04856209060564556,0.7402863550112126,0.12361698519164167,0.9625,0.049999999999999996,0.5,0.31622776601683794,0.6666666666666666,0.21081851067789195,
logreg,3.0,balanced,0.8571428571428571,0.052164053095730085,0.7355373058314235,0.10979679851928952,0.925,0.07288689868556626,0.6,0.37416573867739417,0.6666666666666666,0.21081851067789195,
svm,0.1,none,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,0.1,balanced,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,0.1,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.6571428571428571,0.09712418121129111,0.3989889835373706,0.04522479322184995,0.725,0.16105123408406408,0.0,0.0,0.7333333333333333,0.24944382578492943,rbf
svm,0.3,none,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,0.3,balanced,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,0.3,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.6380952380952382,0.18467351837776494,0.5399625285109156,0.18840439503944792,0.65,0.25186802099512356,0.5,0.4472135954999579,0.6666666666666666,0.21081851067789195,rbf
svm,1.0,none,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,1.0,balanced,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,1.0,none,0.7523809523809524,0.01904761904761902,0.2861861861861862,0.004204204204204198,0.9875,0.024999999999999998,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.7523809523809524,0.05553287518900288,0.5089562874958412,0.07383673432832757,0.8875,0.10752906583803283,0.3,0.39999999999999997,0.3333333333333333,0.36514837167011077,rbf
svm,3.0,none,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,3.0,balanced,0.8380952380952381,0.07737179432986627,0.6518713357861431,0.15927508655099612,0.925,0.09185586535436917,0.4,0.48989794855663565,0.6666666666666666,0.21081851067789195,linear
svm,3.0,none,0.7714285714285714,0.03563483225498992,0.4080005005005005,0.1014631878426649,0.9625,0.075,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
svm,3.0,balanced,0.7714285714285714,0.055532875189002885,0.44260389421679747,0.079781346840522,0.95,0.09999999999999999,0.1,0.2,0.26666666666666666,0.24944382578492943,rbf
