classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.838095238095238,0.0645936188869073,0.5809139009139008,0.18669874994345623,0.975,0.030618621784789725,0.2,0.4000000000000001,0.5333333333333333,0.2666666666666667,
logreg,0.01,balanced,0.8095238095238095,0.06023386019368343,0.6460486127575377,0.15574041312558615,0.8875,0.07288689868556626,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.03,none,0.838095238095238,0.0645936188869073,0.5809139009139008,0.18669874994345623,0.975,0.030618621784789725,0.2,0.4000000000000001,0.5333333333333333,0.2666666666666667,
logreg,0.03,balanced,0.819047619047619,0.05553287518900288,0.6481774642981539,0.15278246137297297,0.9,0.08477912478906585,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.1,none,0.8476190476190475,0.05553287518900284,0.5953988059870412,0.17758767570936212,0.975,0.030618621784789725,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,
logreg,0.1,balanced,0.838095238095238,0.04856209060564558,0.660839151887539,0.15939995755772335,0.925,0.046770717334674264,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.3,none,0.8476190476190475,0.05553287518900284,0.5877689358571712,0.1764798276441734,0.975,0.030618621784789725,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,
logreg,0.3,balanced,0.8285714285714285,0.04856209060564558,0.6474553135037006,0.15429135221939455,0.9125,0.049999999999999996,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,1.0,none,0.838095238095238,0.0645936188869073,0.585652533740769,0.17802057591002296,0.9625,0.03061862178478973,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,
logreg,1.0,balanced,0.819047619047619,0.05553287518900288,0.6123543034026906,0.16251289533116453,0.9125,0.049999999999999996,0.3,0.39999999999999997,0.6666666666666666,0.21081851067789195,
logreg,3.0,none,0.838095238095238,0.0645936188869073,0.585652533740769,0.17802057591002296,0.9625,0.03061862178478973,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,
logreg,3.0,balanced,0.819047619047619,0.05553287518900288,0.6123543034026906,0.16251289533116453,0.9125,0.049999999999999996,0.3,0.39999999999999997,0.6666666666666666,0.21081851067789195,
svm,0.1,none,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,0.1,balanced,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,0.1,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.7333333333333333,0.038095238095238085,0.3902028482542779,0.0861926081246957,0.875,0.07905694150420949,0.0,0.0,0.4666666666666666,0.4,rbf
svm,0.3,none,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,0.3,balanced,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,0.3,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.6476190476190476,0.08832017614757812,0.48784708586432723,0.14403389069287614,0.6875,0.13693063937629152,0.3,0.39999999999999997,0.6666666666666667,0.29814239699997197,rbf
svm,1.0,none,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,1.0,balanced,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,1.0,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.7523809523809524,0.04665694748158436,0.40333033494323817,0.09712829067987919,0.9375,0.09682458365518543,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
svm,3.0,none,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,3.0,balanced,0.8285714285714285,0.04856209060564558,0.570172735760971,0.148991570709667,0.95,0.024999999999999998,0.2,0.4000000000000001,0.5999999999999999,0.24944382578492946,linear
svm,3.0,none,0.7904761904761906,0.023328473740792197,0.4126573632455986,0.10764593238557023,0.9875,0.024999999999999998,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
svm,3.0,balanced,0.7809523809523808,0.023328473740792197,0.4103994903994904,0.10459032020117741,0.975,0.049999999999999996,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
