classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.819047619047619,0.07619047619047617,0.5406830206830207,0.19207010019533877,0.975,0.049999999999999996,0.2,0.4000000000000001,0.39999999999999997,0.13333333333333333,
logreg,0.01,balanced,0.8095238095238095,0.06023386019368339,0.6039011760702528,0.09596257277361177,0.9,0.09354143466934853,0.3,0.39999999999999997,0.6666666666666666,0.21081851067789195,
logreg,0.03,none,0.8095238095238095,0.06023386019368341,0.5252032227032226,0.1612632882260475,0.9625,0.049999999999999996,0.2,0.4000000000000001,0.39999999999999997,0.13333333333333333,
logreg,0.03,balanced,0.8285714285714286,0.038095238095238085,0.615431079567702,0.09440009780884251,0.925,0.07288689868556626,0.3,0.39999999999999997,0.6666666666666666,0.21081851067789195,
logreg,0.1,none,0.8095238095238095,0.06023386019368341,0.5252032227032226,0.1612632882260475,0.9625,0.049999999999999996,0.2,0.4000000000000001,0.39999999999999997,0.13333333333333333,
logreg,0.1,balanced,0.8285714285714286,0.038095238095238085,0.6198789193096594,0.08992007694411089,0.925,0.07288689868556626,0.3,0.39999999999999997,0.6666666666666666,0.21081851067789195,
logreg,0.3,none,0.8095238095238095,0.05216405309573012,0.5426322751322752,0.15373845102599126,0.95,0.046770717334674264,0.2,0.4000000000000001,0.4666666666666666,0.1632993161855452,
logreg,0.3,balanced,0.819047619047619,0.03563483225498991,0.5981857976165377,0.10986384727526255,0.925,0.07288689868556626,0.3,0.39999999999999997,0.6,0.24944382578492946,
logreg,1.0,none,0.8285714285714286,0.04856209060564558,0.5767829031254078,0.1432386847154964,0.95,0.046770717334674264,0.2,0.4000000000000001,0.6,0.24944382578492946,
logreg,1.0,balanced,0.838095238095238,0.023328473740792145,0.6477971824003362,0.1399117213450405,0.925,0.07288689868556626,0.5,0.4472135954999579,0.6,0.24944382578492946,
logreg,3.0,none,0.8380952380952381,0.04856209060564558,0.6054567382508559,0.15614075133475744,0.95,0.046770717334674264,0.3,0.39999999999999997,0.6,0.24944382578492946,
logreg,3.0,balanced,0.8380952380952381,0.023328473740792145,0.6396456389546752,0.09633015391206196,0.925,0.07288689868556626,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
svm,0.1,none,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,0.1,balanced,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,0.1,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.6,0.08832017614757813,0.36059188321257285,0.06046053903558135,0.6625,0.10897247358851683,0.0,0.0,0.6666666666666667,0.29814239699997197,rbf
svm,0.3,none,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,0.3,balanced,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,0.3,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.4666666666666666,0.08728715609439694,0.4071676246458855,0.12415855580067756,0.4,0.06373774391990981,0.5,0.4472135954999579,0.7999999999999999,0.16329931618554522,rbf
svm,1.0,none,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,1.0,balanced,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,1.0,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.7619047619047619,0.030116930096841705,0.3538008596832126,0.08053142641951647,0.975,0.049999999999999996,0.0,0.0,0.13333333333333333,0.1632993161855452,rbf
svm,3.0,none,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,3.0,balanced,0.819047619047619,0.03563483225498991,0.5874656933480462,0.09174954739414726,0.9375,0.06846531968814576,0.2,0.24494897427831783,0.6,0.24944382578492946,linear
svm,3.0,none,0.7619047619047619,0.030116930096841705,0.3211211211211211,0.07103764951735278,0.9875,0.024999999999999998,0.0,0.0,0.06666666666666667,0.13333333333333333,rbf
svm,3.0,balanced,0.7619047619047619,0.030116930096841705,0.3211211211211211,0.07103764951735278,0.9875,0.024999999999999998,0.0,0.0,0.06666666666666667,0.13333333333333333,rbf
