record_id,gt,baseline_pred,candidate_pred
train_img1_ann1,defect_broken,defect_flashover,defect_flashover
train_img1_ann2,defect_broken,defect_flashover,defect_flashover
train_img1_ann3,insulator_ok,defect_broken,defect_flashover
train_img1_ann4,insulator_ok,insulator_ok,insulator_ok
train_img1_ann5,insulator_ok,defect_flashover,defect_flashover
train_img1_ann6,insulator_ok,insulator_ok,insulator_ok
train_img3_ann15,insulator_ok,insulator_ok,insulator_ok
train_img3_ann16,insulator_ok,defect_flashover,insulator_ok
train_img3_ann17,defect_broken,defect_broken,insulator_ok
train_img3_ann18,defect_broken,defect_broken,insulator_ok
train_img3_ann19,defect_broken,insulator_ok,insulator_ok
train_img3_ann20,insulator_ok,defect_flashover,insulator_ok
train_img5_ann45,insulator_ok,insulator_ok,insulator_ok
train_img5_ann46,insulator_ok,defect_flashover,insulator_ok
train_img5_ann47,defect_flashover,defect_broken,insulator_ok
train_img5_ann48,defect_flashover,unknown,insulator_ok
train_img5_ann49,defect_flashover,insulator_ok,insulator_ok
train_img5_ann50,defect_flashover,insulator_ok,insulator_ok
val_img10_ann1039,insulator_ok,unknown,insulator_ok
val_img10_ann1040,defect_flashover,defect_flashover,defect_flashover
val_img10_ann1041,defect_flashover,defect_flashover,insulator_ok
val_img10_ann1042,insulator_ok,unknown,insulator_ok
val_img10_ann1043,insulator_ok,defect_flashover,insulator_ok
val_img10_ann1044,insulator_ok,defect_flashover,insulator_ok
val_img17_ann1045,insulator_ok,insulator_ok,defect_flashover
val_img17_ann1046,insulator_ok,insulator_ok,defect_flashover
val_img17_ann1047,insulator_ok,insulator_ok,defect_flashover
val_img17_ann1048,insulator_ok,defect_broken,insulator_ok
val_img17_ann1049,defect_flashover,defect_flashover,defect_flashover
val_img17_ann1050,defect_flashover,defect_flashover,defect_flashover
val_img17_ann1051,defect_flashover,defect_flashover,insulator_ok
val_img17_ann1052,defect_flashover,insulator_ok,defect_flashover
val_img17_ann1053,defect_flashover,defect_flashover,defect_flashover
val_img17_ann1054,defect_flashover,defect_flashover,defect_flashover
val_img17_ann1055,defect_flashover,insulator_ok,defect_flashover
val_img17_ann1056,defect_flashover,defect_flashover,defect_flashover
val_img17_ann1057,insulator_ok,insulator_ok,insulator_ok
val_img17_ann1058,insulator_ok,defect_flashover,defect_flashover
val_img17_ann1059,defect_flashover,insulator_ok,defect_flashover
val_img31_ann1060,insulator_ok,insulator_ok,insulator_ok
val_img31_ann1061,defect_broken,defect_broken,insulator_ok
val_img31_ann1062,insulator_ok,insulator_ok,insulator_ok
val_img31_ann1063,insulator_ok,unknown,insulator_ok
val_img31_ann1064,insulator_ok,unknown,insulator_ok
val_img33_ann1065,insulator_ok,insulator_ok,defect_flashover
val_img33_ann1066,insulator_ok,defect_flashover,defect_flashover
val_img33_ann1067,insulator_ok,defect_broken,defect_flashover
val_img33_ann1068,defect_flashover,defect_flashover,insulator_ok
val_img33_ann1069,defect_flashover,defect_flashover,defect_flashover
val_img33_ann1070,defect_flashover,defect_flashover,defect_flashover
val_img33_ann1071,insulator_ok,defect_flashover,insulator_ok
val_img33_ann1072,defect_flashover,defect_flashover,defect_flashover
val_img33_ann1073,insulator_ok,defect_flashover,defect_flashover
val_img33_ann1074,insulator_ok,defect_flashover,defect_flashover
val_img33_ann1075,insulator_ok,defect_flashover,defect_flashover
val_img33_ann1076,insulator_ok,defect_flashover,defect_flashover
val_img9_ann1037,insulator_ok,defect_flashover,insulator_ok
val_img9_ann1038,defect_flashover,defect_flashover,insulator_ok
