record_id,qwen_class,classifier_class,hybrid_class,confidence,decision_reason,changed
train_img1_ann1,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
train_img1_ann2,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
train_img1_ann3,defect_broken,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
train_img1_ann4,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img1_ann5,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
train_img1_ann6,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img3_ann15,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img3_ann16,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img3_ann17,defect_broken,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img3_ann18,defect_broken,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img3_ann19,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img3_ann20,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img5_ann45,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img5_ann46,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img5_ann47,defect_broken,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img5_ann48,unknown,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
train_img5_ann49,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
train_img5_ann50,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
val_img10_ann1039,unknown,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img10_ann1040,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img10_ann1041,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img10_ann1042,unknown,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img10_ann1043,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img10_ann1044,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img17_ann1045,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img17_ann1046,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img17_ann1047,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img17_ann1048,defect_broken,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img17_ann1049,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1050,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1051,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img17_ann1052,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img17_ann1053,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1054,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1055,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img17_ann1056,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1057,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
val_img17_ann1058,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img17_ann1059,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img31_ann1060,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
val_img31_ann1061,defect_broken,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img31_ann1062,insulator_ok,insulator_ok,insulator_ok,1.000000,classifier_hard_override,false
val_img31_ann1063,unknown,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img31_ann1064,unknown,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img33_ann1065,insulator_ok,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img33_ann1066,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1067,defect_broken,defect_flashover,defect_flashover,1.000000,classifier_hard_override,true
val_img33_ann1068,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img33_ann1069,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1070,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1071,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img33_ann1072,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1073,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1074,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1075,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img33_ann1076,defect_flashover,defect_flashover,defect_flashover,1.000000,classifier_hard_override,false
val_img9_ann1037,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
val_img9_ann1038,defect_flashover,insulator_ok,insulator_ok,1.000000,classifier_hard_override,true
