record_id,gt_coarse_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,category,candidate_matched_pred,candidate_match_iou,candidate_good_crop,candidate_error_bucket
train_img1_ann5,insulator_ok,insulator_ok,defect_broken,True,False,hurt,val_img1_pred4,0.8870217243522784,True,vlm_error_on_good_pred_crop
train_img3_ann20,insulator_ok,insulator_ok,defect_broken,True,False,hurt,val_img2_pred19,0.9511996257556627,True,vlm_error_on_good_pred_crop
train_img5_ann50,defect_flashover,defect_flashover,insulator_ok,True,False,hurt,val_img3_pred8,0.9699633534149495,True,vlm_error_on_good_pred_crop
val_img17_ann1045,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred1,0.9253269701901439,True,vlm_error_on_good_pred_crop
val_img17_ann1047,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred10,0.8827395832307318,True,vlm_error_on_good_pred_crop
val_img17_ann1048,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred21,0.8783253803887184,True,vlm_error_on_good_pred_crop
val_img17_ann1057,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred8,0.8215111452185622,True,vlm_error_on_good_pred_crop
val_img17_ann1058,insulator_ok,insulator_ok,defect_flashover,True,False,hurt,val_img6_pred14,0.9329698115323837,True,vlm_error_on_good_pred_crop
val_img33_ann1068,defect_flashover,defect_flashover,insulator_ok,True,False,hurt,val_img8_pred44,0.9058822150556282,True,vlm_error_on_good_pred_crop
val_img9_ann1038,defect_flashover,defect_flashover,defect_broken,True,False,hurt,val_img4_pred2,0.9047838059383981,True,vlm_error_on_good_pred_crop
