record_id,gt_coarse_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,category,candidate_matched_pred,candidate_match_iou,candidate_good_crop,candidate_error_bucket
train_img1_ann1,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img1_pred1,0.7876757153884054,True,correct_pipeline_hit
train_img1_ann2,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img1_pred14,0.9287355472918607,True,correct_pipeline_hit
train_img1_ann3,insulator_ok,defect_broken,defect_broken,False,False,both_wrong,val_img1_pred12,0.9358399199436609,True,vlm_error_on_good_pred_crop
train_img1_ann4,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img1_pred3,0.959222385675818,True,correct_pipeline_hit
train_img1_ann5,insulator_ok,insulator_ok,defect_broken,True,False,hurt,val_img1_pred4,0.8870217243522784,True,vlm_error_on_good_pred_crop
train_img1_ann6,insulator_ok,defect_flashover,defect_broken,False,False,both_wrong,val_img1_pred5,0.9745897973602017,True,vlm_error_on_good_pred_crop
train_img3_ann15,insulator_ok,insulator_ok,insulator_ok,True,True,both_correct,val_img2_pred18,0.9418617945519979,True,correct_pipeline_hit
train_img3_ann16,insulator_ok,defect_broken,defect_broken,False,False,both_wrong,val_img2_pred1,0.8931396693048876,True,vlm_error_on_good_pred_crop
train_img3_ann17,defect_broken,defect_broken,defect_broken,True,True,both_correct,val_img2_pred2,0.7968117538501568,True,correct_pipeline_hit
train_img3_ann18,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img2_pred3,0.8379442140095794,True,correct_pipeline_hit
train_img3_ann19,defect_broken,defect_broken,defect_broken,True,True,both_correct,val_img2_pred4,0.9129047451448273,True,correct_pipeline_hit
train_img3_ann20,insulator_ok,insulator_ok,defect_broken,True,False,hurt,val_img2_pred19,0.9511996257556627,True,vlm_error_on_good_pred_crop
train_img5_ann45,insulator_ok,unknown,insulator_ok,False,True,helped,val_img3_pred3,0.9460915786431955,True,correct_pipeline_hit
train_img5_ann46,insulator_ok,defect_broken,insulator_ok,False,True,helped,val_img3_pred9,0.9635013335291798,True,correct_pipeline_hit
train_img5_ann47,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong,val_img3_pred1,0.86536245204592,True,vlm_error_on_good_pred_crop
train_img5_ann48,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong,val_img3_pred4,0.9007596013496775,True,vlm_error_on_good_pred_crop
train_img5_ann49,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong,val_img3_pred2,0.9310105661866952,True,vlm_error_on_good_pred_crop
train_img5_ann50,defect_flashover,defect_flashover,insulator_ok,True,False,hurt,val_img3_pred8,0.9699633534149495,True,vlm_error_on_good_pred_crop
val_img10_ann1039,insulator_ok,defect_flashover,defect_flashover,False,False,both_wrong,val_img5_pred15,0.9185322531228832,True,vlm_error_on_good_pred_crop
val_img10_ann1040,defect_flashover,defect_flashover,defect_flashover,True,True,both_correct,val_img5_pred2,0.9354181807562244,True,correct_pipeline_hit
