method,accuracy,macro_f1_3class,ok_recall,flashover_recall,broken_recall,C,class_weight,flash_thr
logreg_c0.03_balanced,0.4827586206896552,0.4798941798941799,0.28125,0.85,0.3333333333333333,0.03,balanced,
logreg_c0.3_balanced,0.46551724137931033,0.47221261385910296,0.3125,0.75,0.3333333333333333,0.3,balanced,
logreg_c0.1_balanced,0.46551724137931033,0.4691444600280505,0.28125,0.8,0.3333333333333333,0.1,balanced,
logreg_c3_balanced_flash_gate_0.55_else_ok,0.5689655172413793,0.3848238482384823,0.71875,0.5,0.0,3.0,balanced,0.55
logreg_c1_balanced_flash_gate_0.45_else_ok,0.5517241379310345,0.38224637681159424,0.625,0.6,0.0,1.0,balanced,0.45
logreg_c10_balanced_flash_gate_0.55_else_ok,0.5517241379310345,0.37878787878787873,0.65625,0.55,0.0,10.0,balanced,0.55
logreg_c3_balanced_flash_gate_0.45_else_ok,0.5344827586206896,0.37359205977472953,0.5625,0.65,0.0,3.0,balanced,0.45
logreg_c10_balanced,0.5344827586206896,0.3712709670156478,0.59375,0.6,0.0,10.0,balanced,
logreg_c10_plain_flash_gate_0.35_else_ok,0.5862068965517241,0.36431623931623935,0.875,0.3,0.0,10.0,None,0.35
logreg_c10_balanced_flash_gate_0.45_else_ok,0.5172413793103449,0.3602150537634408,0.5625,0.6,0.0,10.0,balanced,0.45
logreg_c10_balanced_zs_broken_rescue,0.3793103448275862,0.35902420430722315,0.375,0.35,0.5,,,
logreg_c0.03_balanced_zs_broken_rescue,0.3620689655172414,0.3518022362733541,0.1875,0.55,0.6666666666666666,,,
logreg_c0.1_balanced_flash_gate_0.35_else_ok,0.5,0.3515392254220457,0.46875,0.7,0.0,0.1,balanced,0.35
logreg_c10_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.3457172342621259,0.8125,0.3,0.0,10.0,balanced,0.65
logreg_c3_balanced,0.4827586206896552,0.3390804597701149,0.46875,0.65,0.0,3.0,balanced,
logreg_c0.1_balanced_zs_broken_rescue,0.3448275862068966,0.3377749199204563,0.1875,0.5,0.6666666666666666,,,
logreg_c3_balanced_zs_broken_rescue,0.3448275862068966,0.3332597904026475,0.28125,0.4,0.5,,,
logreg_c0.3_balanced_zs_broken_rescue,0.3275862068965517,0.3232720597000691,0.1875,0.45,0.6666666666666666,,,
logreg_c10_plain_flash_gate_0.55_else_ok,0.5862068965517241,0.322954822954823,0.96875,0.15,0.0,10.0,None,0.55
logreg_c1_balanced_flash_gate_0.55_else_ok,0.5517241379310345,0.3228803716608595,0.875,0.2,0.0,1.0,balanced,0.55
logreg_c3_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.3222222222222222,0.875,0.2,0.0,3.0,balanced,0.65
logreg_c10_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.3222222222222222,0.875,0.2,0.0,10.0,balanced,0.75
logreg_c10_balanced_flash_gate_0.35_else_ok,0.4482758620689655,0.3152557319223986,0.40625,0.65,0.0,10.0,balanced,0.35
logreg_c10_plain,0.5689655172413793,0.3150379294957608,0.9375,0.15,0.0,10.0,None,
logreg_c10_plain_flash_gate_0.45_else_ok,0.5689655172413793,0.3150379294957608,0.9375,0.15,0.0,10.0,None,0.45
logreg_c1_balanced,0.4482758620689655,0.3148148148148148,0.375,0.7,0.0,1.0,balanced,
logreg_c3_balanced_flash_gate_0.35_else_ok,0.4482758620689655,0.3148148148148148,0.375,0.7,0.0,3.0,balanced,0.35
logreg_c0.3_balanced_flash_gate_0.35_else_ok,0.4482758620689655,0.3134394341290893,0.34375,0.75,0.0,0.3,balanced,0.35
logreg_c1_balanced_flash_gate_0.35_else_ok,0.4482758620689655,0.3134394341290893,0.34375,0.75,0.0,1.0,balanced,0.35
logreg_c1_balanced_zs_broken_rescue,0.3103448275862069,0.3018970189701897,0.1875,0.45,0.5,,,
logreg_c3_plain_flash_gate_0.35_else_ok,0.5689655172413793,0.2964705882352941,0.96875,0.1,0.0,3.0,None,0.35
clip_zero_shot,0.3103448275862069,0.2858024691358025,0.34375,0.2,0.5,,,
logreg_c10_plain_zs_broken_rescue,0.3448275862068966,0.2839344262295082,0.46875,0.1,0.5,,,
logreg_c0.3_balanced_flash_gate_0.45_else_ok,0.5172413793103449,0.2735042735042735,0.875,0.1,0.0,0.3,balanced,0.45
logreg_c3_plain,0.5517241379310345,0.2651515151515152,0.96875,0.05,0.0,3.0,None,
logreg_c1_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.2651515151515152,0.96875,0.05,0.0,1.0,balanced,0.65
logreg_c3_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.2651515151515152,0.96875,0.05,0.0,3.0,balanced,0.75
logreg_c0.03_balanced_flash_gate_0.35_else_ok,0.5344827586206896,0.2588705647176412,0.9375,0.05,0.0,0.03,balanced,0.35
logreg_c0.03_plain,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,
logreg_c0.03_plain_flash_gate_0.35_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,0.35
logreg_c0.03_plain_flash_gate_0.45_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,0.45
logreg_c0.03_plain_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,0.55
logreg_c0.03_plain_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,0.65
logreg_c0.03_plain_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,None,0.75
