method,C,class_weight,cv_accuracy,cv_macro_f1_3class,cv_ok_recall,cv_flashover_recall,cv_broken_recall
logreg_c10_balanced,10.0,balanced,0.7904761904761906,0.6912081128747796,0.825,0.8,0.5999999999999999
logreg_c3_balanced,3.0,balanced,0.6952380952380952,0.5640761866568318,0.725,0.8,0.4666666666666667
logreg_c0.3_balanced,0.3,balanced,0.619047619047619,0.5385982818455937,0.6,0.9,0.5333333333333333
logreg_c0.01_balanced,0.01,balanced,0.5999999999999999,0.5336309675849906,0.5625,0.9,0.5999999999999999
logreg_c1_balanced,1.0,balanced,0.638095238095238,0.533242427823073,0.65,0.8,0.4666666666666667
logreg_c0.1_balanced,0.1,balanced,0.6095238095238094,0.5291889751029535,0.5875,0.9,0.5333333333333333
logreg_c0.03_balanced,0.03,balanced,0.5999999999999999,0.5229439608579393,0.575,0.9,0.5333333333333333
logreg_c10_plain,10.0,None,0.8095238095238095,0.4741655941655941,1.0,0.3,0.13333333333333333
logreg_c0.01_plain,0.01,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
logreg_c0.03_plain,0.03,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
logreg_c0.1_plain,0.1,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
logreg_c0.3_plain,0.3,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
logreg_c1_plain,1.0,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
logreg_c3_plain,3.0,None,0.7619047619047619,0.2882882882882883,1.0,0.0,0.0
